Vaka_ID,Ulke_Bolge,Yil,Proje_Sektoru_v4,FIDIC_Kitap_Turu,Atif_Maddeler,Kurum_Yargi_Yeri,Uyusmazlik_Ozeti,Claim_Turu,Eskalasyon_Asamasi,Sonuc_Yonu,Vaka_Adi,Kaynak,Karar_Yonu_Ham,Tahmini_Tutar_USD,Sure_Yil_Cikarilan
460,ICC Tahkimi (Yer/Ülke Belirsiz),2003-2006,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),"Clause 67, 53.1, 60.2, 60.10, 52.3","ICC (State C - Afrika, common law)",Yerel mahkemenin tahkim yetkisini iptali; Muhendis'in nihai/baglayici karari; para birimi; faiz,Para Birimi/Faiz Uyusmazligi,Tenfiz/Icra (Nihai Asama),Yuklenici Lehine,ICC Case No. 12048 (I-II Kismi + Nihai Karar),"FIDIC.org / ICC Bulletin Vol 23 No 2 (2012), Seppala Third Commentary","Kismen Yuklenici lehine (Muhendis karari tenfiz edildi), karsi talepler reddedildi",,
4,İsviçre,2005,Egitim/Kampus,Kırmızı Kitap - 1999 (1. Baskı),Clause 18.1,"ICC, Bern (Isvicre hukuku; ana sozlesme Orta Dogu)",Alt yuklenicinin temerrut nedeniyle feshi; universite kampusu; hakem masraflari,Fesih,Belirsiz/Sadece Claim Asamasi,Uzlasma,ICC Case No. 10951 (Nihai Karar - Alt Yuklenici),"FIDIC.org / ICC Bulletin Vol 23 No 2 (2012), Seppala Third Commentary",Uzlasma niteliginde - tazminat paylastirildi,,
5,Singapur,2004,Yenilenebilir Enerji,BELİRSİZ (Sınıflandırılamadı),"Clause 49(a)/(b), %18.5 tazminat tavani","ICC, Singapur (State D - Ingiliz common law); ruzgar turbini",80 ruzgar turbininin saha kosullarina uygun olmamasi; gelecek zarar hesabi; tazminat tavani,Zemin Kosullari,Belirsiz/Sadece Claim Asamasi,Diger/Siniflandirilmamis,ICC Case No. 12090 (Nihai Karar - FIDIC disi EPC),"FIDIC.org / ICC Bulletin Vol 23 No 2 (2012), Seppala Third Commentary",Yuklenici sorumlu ama tazminat %18.5 tavanla sinirlandi,,
8,Fransa (Paris - ICC Merkezi),2001-2002,Karayolu/Otoyol,Kırmızı Kitap - 4. Baskı (1987),"Clause 11, 67","ICC, Paris (Afrika devleti - yol)",Muhendis'in 'baglayici ama kesin degil' kararinin ara kararla tenfizi; ihale doneminde saglanan veriye guven,Ihale Sureci,Tenfiz/Icra (Nihai Asama),Yuklenici Lehine,ICC Case No. 10619 (Ara ve Nihai Karar),"FIDIC.org / ICC Bulletin Vol 19 No 2 (2008), Seppala Second Commentary",Buyuk olcude Yuklenici lehine (ara kararla tenfiz + sure uzatimi/maliyet),,
11,Almanya,2002,Belirsiz/Veri Yetersiz,Beyaz Kitap (Danışman) - 2. Baskı (1991),"Clause 17, 18.1","ICC, Berlin (Almanya)",Danismanlik sozlesmesinde 1 yillik sorumluluk zamanasimi gecerliligi,Zamanasimi/Sure Siniri,Belirsiz/Sadece Claim Asamasi,Yuklenici Lehine,ICC Case No. 11039 (Nihai Karar),"FIDIC.org / ICC Bulletin Vol 19 No 2 (2008), Seppala Second Commentary",Danisman (Yuklenici) lehine - talep zamanasimina ugramis sayildi,,
465,ICC Tahkimi (Yer/Ülke Belirsiz),2010,Egitim/Kampus,Kırmızı Kitap - 4. Baskı (1987),"Clause 52.2, 53, 54.3, 67",ICC (State X),"Tasarim isleri, ek ucret ve ozel valf maliyeti taleplerinde zamanasimi (sure siniri) itirazlari",Degisiklik/Change Order; Zamanasimi/Sure Siniri,Belirsiz/Sadece Claim Asamasi,Isveren Lehine,ICC Case No. 15282 (Nihai Karar),"FIDIC.org / ICC Bulletin Vol 24 No 2 (2013), Seppala Fourth Commentary",Buyuk olcude Isveren lehine - talepler zamanasimi/ispat yetersizligi nedeniyle reddedildi,,
16,ICC Tahkimi (Yer/Ülke Belirsiz),2010,Kopru/Tunel,Kırmızı Kitap - 4. Baskı (1987),"Clause 60.3(b), 10.2, 62.2",ICC (State X),Teminatin (retention) 12 aylik sozlesmesel Kusur Sorumluluk Donemi mi yoksa 60 aylik yasal garanti donemi mi bitince serbest birakilacagi,Kalite/Kusur,Belirsiz/Sadece Claim Asamasi,Yuklenici Lehine,ICC Case No. 15789 (Nihai Karar),"FIDIC.org / ICC Bulletin Vol 24 No 2 (2013), Seppala Fourth Commentary",Yuklenici lehine - teminat 12 ay sonunda serbest birakilmali,,
17,ICC Tahkimi (Yer/Ülke Belirsiz),2010,Kopru/Tunel,Turuncu Kitap - 1. Baskı (1995),"Clause 1.1.5.6, 13.13, 13.16",ICC (State X - Bakanlik + Devlet),Nihai Odeme Belgesi'nin baglayiciligi; vergi kesintisi nedeniyle finansman/genel gider/kur farki zarari talepleri,Odeme Uyusmazligi,Belirsiz/Sadece Claim Asamasi,Yuklenici Lehine,ICC Case No. 16205 (Nihai Karar),"FIDIC.org / ICC Bulletin Vol 24 No 2 (2013), Seppala Fourth Commentary",Kismen Yuklenici lehine (sadece finansman zarari kabul edildi),,
466,ICC Tahkimi (Yer/Ülke Belirsiz),2002,Belirsiz/Veri Yetersiz,Sarı Kitap - Baskı Belirsiz,"Clause 2.5, 14.6, 14.7, 20.4, 20.6",ICC (Ingiliz hukuku),Isveren'in gecikme cezasi alacagini onaylanmis hakedislerden mahsup (set-off) hakki,Gecikme/EOT; Odeme Uyusmazligi,Belirsiz/Sadece Claim Asamasi,Isveren Lehine,ICC Case No. 11813 (Ara/Kismi Karar - Mahsup),"FIDIC.org / ICC Bulletin Vol 24 No 2 (2013), Seppala Fourth Commentary",Isveren lehine - mahsup hakki taninmis oldu,,
19,Singapur,2025,Belirsiz/Veri Yetersiz,Kırmızı Kitap - 1999 (1. Baskı),"13, 13.7, 13.8, 20, 20.1, 20.6",Singapur Istinaf Mahkemesi,Asgari ucret artisi ek odeme; hakem kararinin iptali (paralel kararlardan kopyalama),Odeme Uyusmazligi,Istinaf/Temyiz/Yuksek Mahkeme,Diger/Siniflandirilmamis,"DFCCI v. IRCON/Mitsui/Tata Projects, ICC No. 26733/HTG, [2025] SGCA(I) 2",Howard Kennedy LLP - Table of FIDIC Cases (June 2025),Karar tamamen iptal edildi,,
